Time,Hubei,Guangdong,Beijing,Shanghai,Zhejiang,Tianjin,Chongqing,Jiangxi,Shandong,Henan,Hunan,Sichuan,Yunnan,Shanxi,Fujian,Liaoning,Hainan,Anhui,Guizhou,Guangxi,Ningxia,Hebei,Jiangsu,Jilin,Heilongjiang,Shaanxi,Xinjiang,Gansu,"Inner
Mongolia",Qinghai,Tibet,Wuhan,Sum,Total death
"Jan 16, 2020",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6,2
"Jan 17, 2020",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,8,2
"Jan 18, 2020",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,10,2
"Jan 19, 2020",198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,13,3
"Jan 20, 2020",270,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,19,6
"Jan 21, 2020",375,26,10,9,5,2,5,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,28,9
"Jan 22, 2020",444,32,14,16,10,4,9,3,6,5,9,5,1,1,1,2,4,1,3,2,1,1,1,1,0,3,0,0,0,0,0,425,45,17
"Jan 23, 2020",549,53,26,20,43,5,27,7,9,9,24,15,2,1,5,4,8,15,3,13,2,2,9,3,4,5,2,2,1,0,0,495,70,25
"Jan 24, 2020",729,78,36,33,62,8,57,18,21,32,43,28,5,6,10,12,10,39,4,23,3,8,18,4,9,15,3,4,2,0,0,572,111,41
"Jan 25, 2020",1052,98,51,40,104,10,75,36,39,83,69,44,11,9,29,17,22,60,5,33,4,13,31,4,15,22,4,7,7,1,0,618,167,56
"Jan 26, 2020",1423,146,68,53,128,14,110,48,63,128,100,69,19,13,56,22,31,70,7,46,7,18,47,6,21,35,5,14,11,4,0,698,247,80
"Jan 27, 2020",2714,188,80,66,173,23,132,72,87,168,143,90,26,20,73,27,38,106,9,51,11,33,70,8,30,46,10,19,13,6,0,1590,353,106
"Jan 28, 2020",3554,241,91,80,296,24,147,109,121,206,221,108,51,27,82,36,43,152,9,58,12,48,99,9,37,56,13,24,15,6,0,1905,485,132
"Jan 29, 2020",4586,311,111,101,428,27,165,162,145,278,277,142,70,35,101,39,46,200,12,78,17,65,129,14,43,63,14,26,18,6,1,2261,655,170
"Jan 30, 2020",5806,393,132,128,537,32,206,240,178,352,332,178,80,39,120,43,49,237,15,87,21,82,168,14,59,87,17,29,20,8,1,2639,868,213
"Jan 31, 2020",7153,535,156,169,599,37,247,286,206,422,399,208,91,47,144,63,57,297,29,100,26,96,202,17,80,101,18,35,23,9,1,3215,1127,259
"Feb 1, 2020",9074,604,183,177,661,45,262,333,225,493,463,231,99,56,159,64,63,340,38,111,28,104,236,23,95,116,20,40,27,11,1,4109,1431,304
"Feb 2, 2020",11177,683,212,203,724,56,312,391,259,566,521,254,114,66,179,73,71,408,46,127,31,113,271,31,121,128,24,51,34,13,1,5142,1792,361
"Feb 3, 2020",13522,797,228,208,829,60,337,476,270,675,593,282,117,74,194,74,78,480,56,139,34,126,308,42,155,142,29,55,35,15,1,6384,2217,425
"Feb 4, 2020",16678,870,253,233,895,69,366,548,298,764,661,301,122,81,205,81,89,530,64,150,34,135,341,54,190,165,32,57,42,17,1,8351,2707,490
"Feb 5, 2020",19665,944,274,254,954,71,389,600,343,851,711,321,128,90,215,89,100,591,69,168,40,157,373,59,227,173,36,62,46,18,1,10117,3270,563
"Feb 6, 2020",22112,1018,297,269,1006,81,411,661,379,914,772,344,135,96,224,94,111,665,75,172,43,171,408,65,263,184,39,67,50,18,1,11618,3906,636
"Feb 7, 2020",24953,1075,315,281,1048,83,426,698,407,980,803,363,138,103,239,99,122,733,87,183,44,195,439,69,281,195,42,71,52,18,1,13603,4628,722
"Feb 8, 2020",27013,1120,326,292,1063,85,446,739,435,1033,838,386,140,115,250,105,128,779,96,195,45,206,468,78,307,208,45,79,54,18,1,14981,5439,811
"Feb 9, 2020",29631,1151,337,295,1092,88,468,771,459,1073,879,405,141,119,261,107,136,830,109,210,49,218,492,80,331,213,49,83,58,18,1,16902,6347,908
"Feb 10, 2020",31728,1177,342,302,1117,95,486,803,486,1105,912,417,149,122,267,108,142,860,127,215,53,239,515,81,360,219,55,86,58,18,1,18454,7363,1016
"Feb 11, 2020",33366,1219,352,306,1131,106,505,844,497,1135,946,436,154,124,272,111,145,889,133,222,58,251,543,83,378,225,59,86,60,18,1,19558,8476,1113
"Feb 12, 2020",48206,1241,366,313,1145,113,518,872,506,1169,968,451,156,126,279,116,157,910,135,222,64,265,570,84,395,229,63,87,61,18,1,32994,9735,1259
"Feb 13, 2020",51986,1261,372,318,1155,119,529,900,523,1184,988,463,162,126,281,117,157,934,140,226,67,283,593,86,418,230,65,90,65,18,1,36904,11115,1380
"Feb 14, 2020",54406,1294,375,326,1162,120,537,913,530,1212,1001,470,168,127,285,119,162,950,143,235,70,291,604,88,425,232,70,90,68,18,1,37914,12638,1523
