Time,Qom,Markazi,Tehran,Gilan,Mazandaran,Hamadan,Esfahan,Fars,Khorasan-e-Razavi,Alborz,Hormozgan,Khuzestan,Sistan and Baluchestan,Kohgiluyeh and BuyerAhmad,Kermanshah,Ardebil,Lorestan,Semnan,Kordestan,Yazd,East Azarbaijan,West Azarbaijan,Qazvin,Golestan,Ilam,South Khorasan,Kerman,North Khorasan,Zanjan,Chahar mahall and Bakhitari,Bushehr,Sum,Total death
2-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2-20,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2-21,11,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4
2-22,19,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6
2-23,26,2,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8
2-24,34,4,13,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,12
2-25,50,4,22,8,3,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,15
2-26,65,5,26,17,4,1,2,3,1,2,2,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,18
2-27,72,5,64,40,11,2,10,3,2,5,2,3,2,2,3,6,4,4,1,1,2,1,0,0,0,0,0,0,0,0,0,245,25
2-28,88,5,128,65,20,2,20,3,2,8,2,6,2,2,3,7,4,6,3,1,6,1,2,2,0,0,0,0,0,0,0,388,33
2-29,109,23,180,82,32,2,32,11,2,16,2,10,3,2,3,10,4,10,8,5,12,1,8,24,1,1,0,0,0,0,0,593,42
3-1,139,67,350,110,43,5,45,19,19,47,4,19,4,2,5,10,12,13,8,5,12,1,8,24,2,3,2,0,0,0,0,978,53
3-2,201,85,575,163,55,5,68,27,25,57,11,31,5,2,6,10,12,13,10,6,14,5,26,24,4,6,4,1,0,0,0,1501,65
3-3,253,141,1043,218,62,10,120,35,28,93,11,35,6,2,7,12,14,30,10,7,48,5,55,24,4,6,4,1,2,0,0,2336,76
3-4,354,149,1296,253,71,10,120,49,36,112,11,62,14,2,22,12,19,38,14,7,57,5,80,33,11,6,18,2,8,1,0,2922,91
3-5,386,180,1352,333,121,16,238,68,89,173,13,63,19,2,22,26,30,60,18,7,65,10,111,37,11,15,18,3,15,9,3,3513,107
3-6,523,228,1413,424,301,23,388,81,89,302,19,63,21,6,27,40,80,114,42,57,75,11,176,104,13,18,25,15,50,14,5,4747,124
3-7,668,265,1539,494,606,34,484,95,135,305,30,64,34,6,31,41,107,138,44,81,77,33,178,162,15,18,40,23,52,16,8,5823,145
3-8,685,335,1805,496,620,60,564,104,154,307,35,69,34,9,33,50,144,175,63,87,107,40,207,175,15,44,41,24,53,21,10,6566,194
3-9,712,389,1945,524,633,60,601,133,183,307,52,73,34,9,44,72,151,220,66,90,129,69,247,175,31,37,36,34,68,26,11,7161,237
3-10,751,416,2114,524,886,77,618,151,222,339,69,110,40,11,51,91,176,221,78,127,146,73,257,179,56,51,40,34,79,37,18,8042,291
3-11,804,447,2370,529,918,84,788,170,256,384,79,127,44,11,59,92,185,284,84,150,175,100,284,188,62,66,58,45,101,38,18,9000,354
3-12,846,535,2673,613,997,96,792,199,285,458,79,158,50,26,79,106,210,324,93,171,182,119,326,213,69,78,65,45,118,49,21,10075,429
3-13,888,583,2976,684,1189,106,902,232,395,464,83,173,52,26,94,121,235,362,102,217,279,144,338,234,77,78,77,45,138,49,21,11364,514
3-14,920,698,3323,797,1206,113,1057,243,425,598,83,221,54,26,102,154,237,409,107,290,338,175,385,234,83,82,77,46,169,49,28,12729,611
3-15,1004,698,3574,840,1278,124,1183,252,568,665,90,253,60,27,115,154,289,450,134,326,374,193,407,259,101,100,84,52,201,49,34,13938,724
3-16,1023,712,3774,858,1374,131,1301,295,568,714,106,306,71,32,136,184,289,484,165,377,409,224,447,301,103,107,97,97,216,52,38,14991,853
