Time,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju,Sum,Total death,
24-Feb,30,17,443,2,9,3,1,1,35,6,3,1,3,1,186,20,2,763,7,
25-Feb,36,38,499,2,9,3,2,1,40,6,3,1,3,1,225,21,2,892,10,
26-Feb,45,50,677,3,9,3,3,1,43,6,5,2,3,1,268,25,2,1146,12,
27-Feb,55,58,1017,3,9,8,6,1,55,6,7,7,3,1,321,36,2,1595,13,
28-Feb,62,63,1314,4,9,13,11,1,66,6,9,16,5,1,394,46,2,2022,13,
29-Feb,74,77,2055,6,9,14,17,1,76,7,10,48,5,2,469,59,2,2931,17,
1-Mar,82,81,2569,6,9,14,17,1,84,7,11,60,5,3,514,62,2,3527,18,
2-Mar,91,88,3081,7,9,14,20,1,92,19,11,78,6,4,624,64,2,4211,22,
3-Mar,98,90,3601,7,11,14,20,1,94,20,11,81,7,4,685,64,2,4810,28,
4-Mar,99,92,4006,9,13,15,23,1,101,21,11,82,7,4,774,65,3,5326,32,
5-Mar,103,92,4327,9,13,16,23,1,110,23,12,86,7,4,861,74,4,5765,35,
6-Mar,105,95,4694,9,13,18,23,1,120,25,15,90,7,4,984,77,4,6284,42,
7-Mar,108,96,5084,9,13,18,23,2,130,26,20,92,7,4,1049,82,4,6767,44,
8-Mar,120,96,5381,9,13,18,24,3,141,27,24,98,7,4,1081,83,4,7133,50,
9-Mar,130,96,5571,9,15,18,24,6,152,28,25,102,7,4,1107,83,4,7381,51,
10-Mar,141,96,5663,13,15,18,24,8,163,28,25,104,7,4,1117,83,4,7513,54,
11-Mar,193,98,5794,25,15,18,25,10,175,29,27,112,7,4,1135,84,4,7755,60,
3-11,193,98,5794,25,15,18,25,10,175,29,27,112,7,4,1135,84,4,7755,242,60
